year,month,artist,title,weeks,rank
2016,1,Adele,Hello,8,0
2016,1,Justin Bieber,Sorry,8,1
2016,1,Drake,Hotline Bling,20,2
2016,1,Justin Bieber,Love Yourself,5,3
2016,1,Justin Bieber,What Do You Mean?,16,4
2016,1,Selena Gomez,Same Old Love,14,5
2016,1,The Weeknd,The Hills,30,6
2016,1,Alessia Cara,Here,20,7
2016,1,Shawn Mendes,Stitches,30,8
2016,1,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,24,9
2016,1,Fetty Wap Featuring Remy Boyz,679,25,10
2016,1,The Weeknd,In The Night,6,11
2016,1,Drake & Future,Jumpman,13,12
2016,1,Ellie Goulding,On My Mind,13,13
2016,1,The Weeknd,Can't Feel My Face,28,14
2016,1,Travis Scott,Antidote,15,15
2016,1,Elle King,Ex's & Oh's,24,16
2016,1,Mariah Carey,All I Want For Christmas Is You,13,17
2016,1,twenty one pilots,Stressed Out,13,18
2016,1,Bryson Tiller,Don't,12,19
2016,1,Thomas Rhett,Die A Happy Man,13,20
2016,1,Post Malone,White Iverson,15,21
2016,1,Taylor Swift,Wildest Dreams,17,22
2016,1,Jordan Smith,Mary Did You Know,1,23
2016,1,Major Lazer & DJ Snake Featuring MO,Lean On,37,24
2016,1,The Chainsmokers Featuring Rozes,Roses,9,25
2016,1,Silento,Watch Me,43,26
2016,1,Tory Lanez,Say It,9,27
2016,1,Cam,Burning House,23,28
2016,1,Demi Lovato,Confident,11,29
2016,1,Fetty Wap,Trap Queen,48,30
2016,1,One Direction,Perfect,9,31
2016,1,Ariana Grande,Focus,7,32
2016,1,Sam Hunt,Break Up In A Small Town,11,33
2016,1,Future Featuring Drake,Where Ya At,22,34
2016,1,J. Cole,No Role Modelz,18,35
2016,1,R. City Featuring Adam Levine,Locked Away,22,36
2016,1,Brenda Lee,Rockin' Around The Christmas Tree,14,37
2016,1,Skrillex & Diplo With Justin Bieber,Where Are U Now,42,38
2016,1,G-Eazy x Bebe Rexha,"Me, Myself & I",7,39
2016,1,Daya,Hide Away,13,40
2016,1,Wiz Khalifa Featuring Charlie Puth,See You Again,41,41
2016,1,Selena Gomez Featuring A$AP Rocky,Good For You,26,42
2016,1,Coldplay,Adventure Of A Lifetime,6,43
2016,1,Fetty Wap,Again,19,44
2016,1,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,5,45
2016,1,DNCE,Cake By The Ocean,9,46
2016,1,Bryson Tiller,Exchange,8,47
2016,1,OMI,Cheerleader,35,48
2016,1,One Direction,Drag Me Down,20,49
2016,1,Flo Rida,My House,6,50
2016,1,iLoveMemphis,Hit The Quan,18,51
2016,1,DeJ Loaf Featuring Big Sean,Back Up,11,52
2016,1,Missy Elliott Featuring Pharrell Williams,WTF (Where They From),6,53
2016,1,Adele,When We Were Young,4,54
2016,1,Emily Ann Roberts,Burning House,1,55
2016,1,Yo Gotti Featuring Nicki Minaj,Down In The DM,3,56
2016,1,Brothers Osborne,Stay A Little Longer,11,57
2016,1,Justin Bieber,I'll Show You,7,58
2016,1,Charlie Puth,One Call Away,3,59
2016,1,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,4,60
2016,1,Selena Gomez,Hands To Myself,2,61
2016,1,Blake Shelton,Gonna,14,62
2016,1,Chris Brown,Back To Sleep,1,63
2016,1,Nelly Featuring Jeremih,The Fix,12,64
2016,1,Jason Aldean,Gonna Know We Were Here,10,65
2016,1,Gwen Stefani,Used To Love You,5,66
2016,1,DLOW,Do It Like Me,6,67
2016,1,Cole Swindell,You Should Be Here,1,68
2016,1,Drake & Future,Big Rings,13,69
2016,1,Jana Kramer,I Got The Boy,10,70
2016,1,Jordan Smith,Climb Every Mountain,1,71
2016,1,LOCASH,I Love This Life,8,72
2016,1,Drake,Back To Back,20,73
2016,1,Rudimental Featuring Ed Sheeran,Lay It All On Me,11,74
2016,1,Tim McGraw,Top Of The World,10,75
2016,1,Rachel Platten,Stand By You,5,76
2016,1,Young Thug,Best Friend,4,77
2016,1,Fall Out Boy,Irresistible,5,78
2016,1,Halsey,New Americana,12,79
2016,1,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,8,80
2016,1,Justin Bieber Featuring Halsey,The Feeling,5,81
2016,1,Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase,14,82
2016,1,Rae Sremmurd,Come Get Her,14,83
2016,1,Dan + Shay,Nothin' Like You,19,84
2016,1,Andy Grammer,Good To Be Alive (Hallelujah),1,85
2016,1,Kelsea Ballerini,Dibs,7,86
2016,1,Luke Bryan,Strip It Down,20,87
2016,1,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,17,88
2016,1,Jordan Smith & Adam Levine,God Only Knows,1,89
2016,1,Granger Smith,Backroad Song,2,90
2016,1,Dawin,Dessert,2,91
2016,1,Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,7,92
2016,1,Drake,Right Hand,14,93
2016,1,Bryson Tiller,Sorry Not Sorry,1,94
2016,1,Zac Brown Band,Beautiful Drug,4,95
2016,1,Carrie Underwood,Smoke Break,17,96
2016,1,Tori Kelly,Hollow,1,97
2016,1,Jordan Smith,Somebody To Love,2,98
2016,1,Justin Bieber,Purpose,5,99
2016,2,Justin Bieber,Sorry,13,0
2016,2,Justin Bieber,Love Yourself,10,1
2016,2,Adele,Hello,13,2
2016,2,twenty one pilots,Stressed Out,18,3
2016,2,Alessia Cara,Here,25,4
2016,2,Shawn Mendes,Stitches,35,5
2016,2,Selena Gomez,Same Old Love,19,6
2016,2,The Chainsmokers Featuring Rozes,Roses,14,7
2016,2,Drake,Hotline Bling,25,8
2016,2,Justin Bieber,What Do You Mean?,21,9
2016,2,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,29,10
2016,2,Flo Rida,My House,11,11
2016,2,The Weeknd,In The Night,11,12
2016,2,Drake & Future,Jumpman,18,13
2016,2,Bryson Tiller,Don't,17,14
2016,2,G-Eazy x Bebe Rexha,"Me, Myself & I",12,15
2016,2,Post Malone,White Iverson,20,16
2016,2,The Weeknd,The Hills,35,17
2016,2,Travis Scott,Antidote,20,18
2016,2,Fetty Wap Featuring Remy Boyz,679,30,19
2016,2,Selena Gomez,Hands To Myself,7,20
2016,2,DNCE,Cake By The Ocean,14,21
2016,2,Tory Lanez,Say It,14,22
2016,2,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,10,23
2016,2,Thomas Rhett,Die A Happy Man,18,24
2016,2,Charlie Puth,One Call Away,8,25
2016,2,Ellie Goulding,On My Mind,18,26
2016,2,Silento,Watch Me,48,27
2016,2,Elle King,Ex's & Oh's,29,28
2016,2,Daya,Hide Away,18,29
2016,2,Yo Gotti Featuring Nicki Minaj,Down In The DM,8,30
2016,2,The Weeknd,Can't Feel My Face,33,31
2016,2,Sam Hunt,Break Up In A Small Town,16,32
2016,2,Taylor Swift,Wildest Dreams,22,33
2016,2,Adele,When We Were Young,9,34
2016,2,Major Lazer & DJ Snake Featuring MO,Lean On,42,35
2016,2,Wiz Khalifa Featuring Charlie Puth,See You Again,46,36
2016,2,One Direction,Perfect,14,37
2016,2,Bryson Tiller,Exchange,13,38
2016,2,Demi Lovato,Confident,16,39
2016,2,J. Cole,No Role Modelz,23,40
2016,2,Rachel Platten,Stand By You,10,41
2016,2,Fetty Wap,Again,24,42
2016,2,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,9,43
2016,2,Young Thug,Best Friend,9,44
2016,2,Brothers Osborne,Stay A Little Longer,16,45
2016,2,Coldplay,Adventure Of A Lifetime,11,46
2016,2,R. City Featuring Adam Levine,Locked Away,27,47
2016,2,Chris Brown,Back To Sleep,6,48
2016,2,Taylor Swift,Out Of The Woods,5,49
2016,2,Ariana Grande,Focus,12,50
2016,2,Fall Out Boy,Irresistible,10,51
2016,2,DLOW,Do It Like Me,11,52
2016,2,Jason Derulo,Get Ugly,5,53
2016,2,Jeremih,Oui,3,54
2016,2,LOCASH,I Love This Life,13,55
2016,2,Granger Smith,Backroad Song,7,56
2016,2,Robin Schulz Featuring Francesco Yates,Sugar,3,57
2016,2,Jana Kramer,I Got The Boy,15,58
2016,2,Carrie Underwood,Heartbeat,3,59
2016,2,DeJ Loaf Featuring Big Sean,Back Up,16,60
2016,2,Kevin Gates,2 Phones,3,61
2016,2,Drake & Future,Big Rings,18,62
2016,2,Zac Brown Band,Beautiful Drug,9,63
2016,2,Keith Urban,Break On Me.,4,64
2016,2,Nelly Featuring Jeremih,The Fix,17,65
2016,2,Bryson Tiller,Sorry Not Sorry,6,66
2016,2,Dawin,Dessert,7,67
2016,2,Brett Eldredge,Drunk On Your Love,2,68
2016,2,Cole Swindell,You Should Be Here,6,69
2016,2,Kelsea Ballerini,Dibs,12,70
2016,2,Panic! At The Disco,Emperor's New Clothes,3,71
2016,2,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,13,72
2016,2,Jason Aldean,Gonna Know We Were Here,15,73
2016,2,Justin Bieber,I'll Show You,12,74
2016,2,Kevin Gates,Really Really,5,75
2016,2,Missy Elliott Featuring Pharrell Williams,WTF (Where They From),11,76
2016,2,Florida Georgia Line,Confession,4,77
2016,2,Mike Posner,I Took A Pill In Ibiza,1,78
2016,2,Chris Stapleton,Nobody To Blame,3,79
2016,2,Tori Kelly,Hollow,6,80
2016,2,Empire Of The Sun,Walking On A Dream,1,81
2016,2,Andy Grammer,Good To Be Alive (Hallelujah),6,82
2016,2,David Guetta Featuring Sia & Fetty Wap,Bang My Head,2,83
2016,2,Eric Church,Mr. Misunderstood,4,84
2016,2,James Bay,Let It Go,5,85
2016,2,Halsey,New Americana,17,86
2016,2,2 Chainz,Watch Out,4,87
2016,2,Panic! At The Disco,Victorious,1,88
2016,2,Randy Houser,We Went,5,89
2016,2,Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,12,90
2016,2,Panic! At The Disco,Death Of A Bachelor,1,91
2016,2,Rudimental Featuring Ed Sheeran,Lay It All On Me,16,92
2016,2,Drake,Right Hand,19,93
2016,2,DJ Snake Featuring Bipolar Sunshine,Middle,1,94
2016,2,Lukas Graham,7 Years,1,95
2016,2,Rae Sremmurd,Come Get Her,19,96
2016,2,iLoveMemphis,Lean & Dabb,1,97
2016,2,J Balvin,Ginza,15,98
2016,2,The Weeknd,Acquainted,4,99
2016,3,Rihanna Featuring Drake,Work,4,0
2016,3,Justin Bieber,Love Yourself,14,1
2016,3,twenty one pilots,Stressed Out,22,2
2016,3,Justin Bieber,Sorry,17,3
2016,3,Flo Rida,My House,15,4
2016,3,Zayn,Pillowtalk,3,5
2016,3,Adele,Hello,17,6
2016,3,G-Eazy x Bebe Rexha,"Me, Myself & I",16,7
2016,3,The Chainsmokers Featuring Rozes,Roses,18,8
2016,3,DNCE,Cake By The Ocean,18,9
2016,3,Selena Gomez,Hands To Myself,11,10
2016,3,Charlie Puth,One Call Away,12,11
2016,3,Shawn Mendes,Stitches,39,12
2016,3,Adele,When We Were Young,13,13
2016,3,The Weeknd,In The Night,15,14
2016,3,Bryson Tiller,Don't,21,15
2016,3,Selena Gomez,Same Old Love,23,16
2016,3,Yo Gotti Featuring Nicki Minaj,Down In The DM,12,17
2016,3,Drake,Hotline Bling,29,18
2016,3,Lukas Graham,7 Years,5,19
2016,3,Alessia Cara,Here,29,20
2016,3,Mark Ronson Featuring Bruno Mars,Uptown Funk!,56,21
2016,3,Drake & Future,Jumpman,22,22
2016,3,Mike Posner,I Took A Pill In Ibiza,5,23
2016,3,Justin Bieber,What Do You Mean?,25,24
2016,3,Daya,Hide Away,22,25
2016,3,The Weeknd,The Hills,39,26
2016,3,Coldplay,Adventure Of A Lifetime,15,27
2016,3,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,33,28
2016,3,Tory Lanez,Say It,18,29
2016,3,Drake,Summer Sixteen,3,30
2016,3,The Weeknd,Can't Feel My Face,37,31
2016,3,Elle King,Ex's & Oh's,33,32
2016,3,Fetty Wap Featuring Remy Boyz,679,34,33
2016,3,Thomas Rhett,Die A Happy Man,22,34
2016,3,Travis Scott,Antidote,24,35
2016,3,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,14,36
2016,3,James Bay,Let It Go,9,37
2016,3,Post Malone,White Iverson,24,38
2016,3,Kevin Gates,2 Phones,7,39
2016,3,Rachel Platten,Stand By You,14,40
2016,3,Carrie Underwood,Heartbeat,7,41
2016,3,Bryson Tiller,Exchange,17,42
2016,3,Wiz Khalifa Featuring Charlie Puth,See You Again,50,43
2016,3,Jeremih,Oui,7,44
2016,3,Taylor Swift,Wildest Dreams,26,45
2016,3,Sam Hunt,Break Up In A Small Town,20,46
2016,3,Ellie Goulding,On My Mind,22,47
2016,3,Major Lazer & DJ Snake Featuring MO,Lean On,46,48
2016,3,Chris Brown,Back To Sleep,10,49
2016,3,Young Thug,Best Friend,13,50
2016,3,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,13,51
2016,3,Taylor Swift,Out Of The Woods,9,52
2016,3,Gwen Stefani,Make Me Like You,1,53
2016,3,Cole Swindell,You Should Be Here,10,54
2016,3,Robin Schulz Featuring Francesco Yates,Sugar,7,55
2016,3,Granger Smith,Backroad Song,11,56
2016,3,Jason Derulo,Get Ugly,9,57
2016,3,Future Featuring The Weeknd,Low Life,2,58
2016,3,Kelsea Ballerini,Dibs,16,59
2016,3,Brett Eldredge,Drunk On Your Love,6,60
2016,3,Ellie Goulding,Something In The Way You Move,4,61
2016,3,Maren Morris,My Church,4,62
2016,3,Zac Brown Band,Beautiful Drug,13,63
2016,3,Fetty Wap,Jimmy Choo,2,64
2016,3,Keith Urban,Break On Me.,8,65
2016,3,Kevin Gates,Really Really,9,66
2016,3,Tori Kelly,Hollow,10,67
2016,3,Florida Georgia Line,Confession,8,68
2016,3,DJ Snake Featuring Bipolar Sunshine,Middle,5,69
2016,3,Randy Houser,We Went,9,70
2016,3,One Direction,Perfect,18,71
2016,3,Chris Stapleton,Nobody To Blame,7,72
2016,3,Rihanna,Needed Me,3,73
2016,3,Demi Lovato,Confident,20,74
2016,3,Brothers Osborne,Stay A Little Longer,20,75
2016,3,Adele,All I Ask,1,76
2016,3,Rascal Flatts,I Like The Sound Of That,4,77
2016,3,Old Dominion,Snapback,4,78
2016,3,Troye Sivan,Youth,3,79
2016,3,Sia Featuring Sean Paul,Cheap Thrills,1,80
2016,3,The Weeknd,Acquainted,8,81
2016,3,Zara Larsson & MNEK,Never Forget You,1,82
2016,3,Bryson Tiller,Sorry Not Sorry,10,83
2016,3,DJ Luke Nasty,Might Be,1,84
2016,3,Chris Young Duet With Cassadee Pope,Think Of You,1,85
2016,3,Dierks Bentley,Somewhere On A Beach,3,86
2016,3,Tim McGraw,Humble And Kind,2,87
2016,3,Chase Bryant,Little Bit Of You,2,88
2016,3,Andy Grammer,Good To Be Alive (Hallelujah),10,89
2016,3,2 Chainz,Watch Out,8,90
2016,3,Kid Ink Featuring Fetty Wap,Promise,1,91
2016,3,David Guetta Featuring Sia & Fetty Wap,Bang My Head,6,92
2016,3,Fall Out Boy,Irresistible,14,93
2016,3,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,17,94
2016,3,One Direction,History,4,95
2016,3,DLOW,Do It Like Me,15,96
2016,3,Lee Brice,That Don't Sound Like You,1,97
2016,3,LOCASH,I Love This Life,17,98
2016,3,Dawin,Dessert,11,99
2016,4,Rihanna Featuring Drake,Work,8,0
2016,4,Justin Bieber,Love Yourself,18,1
2016,4,Lukas Graham,7 Years,9,2
2016,4,twenty one pilots,Stressed Out,26,3
2016,4,Flo Rida,My House,19,4
2016,4,Zayn,Pillowtalk,7,5
2016,4,G-Eazy x Bebe Rexha,"Me, Myself & I",20,6
2016,4,Justin Bieber,Sorry,21,7
2016,4,DNCE,Cake By The Ocean,22,8
2016,4,Ariana Grande,Dangerous Woman,1,9
2016,4,Mike Posner,I Took A Pill In Ibiza,9,10
2016,4,Meghan Trainor,No,2,11
2016,4,Fifth Harmony Featuring Ty Dolla $ign,Work From Home,3,12
2016,4,Charlie Puth,One Call Away,16,13
2016,4,Selena Gomez,Hands To Myself,15,14
2016,4,Adele,Hello,21,15
2016,4,The Chainsmokers Featuring Rozes,Roses,22,16
2016,4,Kevin Gates,2 Phones,11,17
2016,4,Zara Larsson & MNEK,Never Forget You,5,18
2016,4,Shawn Mendes,Stitches,43,19
2016,4,Bryson Tiller,Don't,25,20
2016,4,Yo Gotti Featuring Nicki Minaj,Down In The DM,16,21
2016,4,Troye Sivan,Youth,7,22
2016,4,Drake & Future,Jumpman,26,23
2016,4,The Weeknd,The Hills,43,24
2016,4,DJ Snake Featuring Bipolar Sunshine,Middle,9,25
2016,4,Jeremih,Oui,11,26
2016,4,Drake,Hotline Bling,33,27
2016,4,Chris Brown,Back To Sleep,14,28
2016,4,Bryson Tiller,Exchange,21,29
2016,4,Drake,Summer Sixteen,7,30
2016,4,Cole Swindell,You Should Be Here,14,31
2016,4,Desiigner,Panda,4,32
2016,4,Adele,When We Were Young,17,33
2016,4,Future Featuring The Weeknd,Low Life,6,34
2016,4,Justin Bieber,What Do You Mean?,29,35
2016,4,Tory Lanez,Say It,22,36
2016,4,James Bay,Let It Go,13,37
2016,4,Alessia Cara,Here,33,38
2016,4,Fetty Wap Featuring Remy Boyz,679,38,39
2016,4,Daya,Hide Away,26,40
2016,4,Blake Shelton,Came Here To Forget,2,41
2016,4,Thomas Rhett,Die A Happy Man,26,42
2016,4,Brett Eldredge,Drunk On Your Love,10,43
2016,4,Selena Gomez,Same Old Love,27,44
2016,4,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,37,45
2016,4,The Weeknd,In The Night,19,46
2016,4,Elle King,Ex's & Oh's,37,47
2016,4,Post Malone,White Iverson,28,48
2016,4,The Weeknd,Can't Feel My Face,41,49
2016,4,Robin Schulz Featuring Francesco Yates,Sugar,11,50
2016,4,Zac Brown Band,Beautiful Drug,17,51
2016,4,Maren Morris,My Church,8,52
2016,4,The Chainsmokers Featuring Daya,Don't Let Me Down,5,53
2016,4,Zayn,Like I Would,1,54
2016,4,Carrie Underwood,Heartbeat,11,55
2016,4,Young Thug,Best Friend,17,56
2016,4,Tim McGraw,Humble And Kind,6,57
2016,4,Dierks Bentley,Somewhere On A Beach,7,58
2016,4,Florida Georgia Line,Confession,12,59
2016,4,Rachel Platten,Stand By You,18,60
2016,4,Kevin Gates,Really Really,13,61
2016,4,Shakira,Try Everything,2,62
2016,4,Old Dominion,Snapback,8,63
2016,4,Coldplay,Adventure Of A Lifetime,19,64
2016,4,Alessia Cara,Wild Things,4,65
2016,4,Rascal Flatts,I Like The Sound Of That,8,66
2016,4,Chris Young Duet With Cassadee Pope,Think Of You,5,67
2016,4,Taylor Swift,New Romantics,3,68
2016,4,Kelly Clarkson,Piece By Piece,3,69
2016,4,Rihanna,Needed Me,7,70
2016,4,Ellie Goulding,Something In The Way You Move,8,71
2016,4,Disturbed,The Sound Of Silence,4,72
2016,4,O.T. Genasis Featuring Young Dolph,Cut It,4,73
2016,4,Kid Ink Featuring Fetty Wap,Promise,5,74
2016,4,The Weeknd,Acquainted,12,75
2016,4,Justin Bieber,Company,6,76
2016,4,Fetty Wap,Jimmy Choo,6,77
2016,4,Ruth B,Lost Boy,4,78
2016,4,Thomas Rhett,T-Shirt,3,79
2016,4,Chris Stapleton,Nobody To Blame,11,80
2016,4,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,18,81
2016,4,Belly Featuring The Weeknd,Might Not,4,82
2016,4,DJ Luke Nasty,Might Be,5,83
2016,4,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,17,84
2016,4,Dustin Lynch,Mind Reader,4,85
2016,4,Sia Featuring Sean Paul,Cheap Thrills,5,86
2016,4,Chase Bryant,Little Bit Of You,6,87
2016,4,Granger Smith,Backroad Song,15,88
2016,4,Ty Dolla $ign Featuring E-40,Saved,4,89
2016,4,Randy Houser,We Went,13,90
2016,4,Lee Brice,That Don't Sound Like You,5,91
2016,4,Zendaya Featuring Chris Brown,Something New,2,92
2016,4,Jon Pardi,Head Over Boots,3,93
2016,4,Bryson Tiller,Sorry Not Sorry,14,94
2016,4,twenty one pilots,Ride,1,95
2016,4,Gwen Stefani,Make Me Like You,3,96
2016,4,Major Lazer Featuring Nyla & Fuse ODG,Light It Up,1,97
2016,4,Keith Urban,Break On Me.,12,98
2016,4,Jonas Blue Featuring Dakota,Fast Car,1,99
2016,5,Desiigner,Panda,9,0
2016,5,Lukas Graham,7 Years,14,1
2016,5,Drake Featuring WizKid & Kyla,One Dance,3,2
2016,5,Rihanna Featuring Drake,Work,13,3
2016,5,Mike Posner,I Took A Pill In Ibiza,14,4
2016,5,Fifth Harmony Featuring Ty Dolla $ign,Work From Home,8,5
2016,5,Meghan Trainor,No,7,6
2016,5,Zayn,Pillowtalk,12,7
2016,5,Justin Bieber,Love Yourself,23,8
2016,5,G-Eazy x Bebe Rexha,"Me, Myself & I",25,9
2016,5,DNCE,Cake By The Ocean,27,10
2016,5,Flo Rida,My House,24,11
2016,5,twenty one pilots,Stressed Out,31,12
2016,5,The Chainsmokers Featuring Daya,Don't Let Me Down,10,13
2016,5,Ariana Grande,Dangerous Woman,6,14
2016,5,Zara Larsson & MNEK,Never Forget You,10,15
2016,5,Prince And The Revolution,Purple Rain,17,16
2016,5,Future Featuring The Weeknd,Low Life,11,17
2016,5,Kevin Gates,2 Phones,16,18
2016,5,Prince,When Doves Cry,22,19
2016,5,Justin Bieber,Sorry,26,20
2016,5,Jeremih,Oui,16,21
2016,5,Rihanna,Needed Me,12,22
2016,5,DJ Snake Featuring Bipolar Sunshine,Middle,14,23
2016,5,Drake Featuring The Throne,Pop Style,3,24
2016,5,Nick Jonas Featuring Tove Lo,Close,4,25
2016,5,Charlie Puth,One Call Away,21,26
2016,5,Prince And The Revolution,Kiss,19,27
2016,5,Prince,Little Red Corvette,23,28
2016,5,Shawn Mendes,Stitches,48,29
2016,5,James Bay,Let It Go,18,30
2016,5,Bryson Tiller,Exchange,26,31
2016,5,The Chainsmokers Featuring Rozes,Roses,27,32
2016,5,Drake & Future,Jumpman,31,33
2016,5,Selena Gomez,Hands To Myself,20,34
2016,5,Adele,Hello,26,35
2016,5,Bryson Tiller,Don't,30,36
2016,5,Dierks Bentley,Somewhere On A Beach,12,37
2016,5,Prince And The Revolution,Let's Go Crazy,20,38
2016,5,Yo Gotti Featuring Nicki Minaj,Down In The DM,21,39
2016,5,Prince,1999,29,40
2016,5,P!nk,Just Like Fire,1,41
2016,5,O.T. Genasis Featuring Young Dolph,Cut It,9,42
2016,5,Tim McGraw,Humble And Kind,11,43
2016,5,Chris Young Duet With Cassadee Pope,Think Of You,10,44
2016,5,Disturbed,The Sound Of Silence,9,45
2016,5,Sia Featuring Sean Paul,Cheap Thrills,10,46
2016,5,The Weeknd,The Hills,48,47
2016,5,Troye Sivan,Youth,12,48
2016,5,Ruth B,Lost Boy,9,49
2016,5,Old Dominion,Snapback,13,50
2016,5,Alessia Cara,Wild Things,9,51
2016,5,Blake Shelton,Came Here To Forget,7,52
2016,5,Florida Georgia Line,Confession,17,53
2016,5,Cole Swindell,You Should Be Here,19,54
2016,5,Thomas Rhett,T-Shirt,8,55
2016,5,Chris Brown,Back To Sleep,19,56
2016,5,Justin Bieber,Company,11,57
2016,5,Rascal Flatts,I Like The Sound Of That,13,58
2016,5,Luke Bryan,"Huntin', Fishin' And Lovin' Every Day",4,59
2016,5,Maren Morris,My Church,13,60
2016,5,Kanye West,Famous,3,61
2016,5,Kid Ink Featuring Fetty Wap,Promise,10,62
2016,5,Kanye West,"Father Stretch My Hands, Pt. 1",3,63
2016,5,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",All The Way Up,4,64
2016,5,Drake,Summer Sixteen,12,65
2016,5,Iggy Azalea,Team,5,66
2016,5,Kevin Gates,Really Really,18,67
2016,5,Dustin Lynch,Mind Reader,9,68
2016,5,Rihanna,Kiss It Better,3,69
2016,5,Belly Featuring The Weeknd,Might Not,9,70
2016,5,Flume Featuring Kai,Never Be Like You,3,71
2016,5,Future,Wicked,1,72
2016,5,twenty one pilots,Ride,6,73
2016,5,The Weeknd,Acquainted,17,74
2016,5,Major Lazer Featuring Nyla & Fuse ODG,Light It Up,6,75
2016,5,Dreezy Featuring Jeremih,Body,5,76
2016,5,Taylor Swift,New Romantics,8,77
2016,5,Jon Pardi,Head Over Boots,8,78
2016,5,MadeinTYO,Uber Everywhere,3,79
2016,5,Lee Brice,That Don't Sound Like You,10,80
2016,5,Kelly Clarkson,Piece By Piece,8,81
2016,5,Brett Eldredge,Drunk On Your Love,15,82
2016,5,Jason Derulo,If It Ain't Love,2,83
2016,5,Young Greatness,Moolah,3,84
2016,5,Yo Gotti Featuring E-40,Law,2,85
2016,5,Ty Dolla $ign Featuring E-40,Saved,9,86
2016,5,Chase Bryant,Little Bit Of You,11,87
2016,5,The Lumineers,Ophelia,3,88
2016,5,Jason Aldean,Lights Come On,3,89
2016,5,Keith Urban,Wasted Time,2,90
2016,5,DJ Luke Nasty,Might Be,10,91
2016,5,gnash Featuring Olivia O'Brien,I Hate U I Love U,1,92
2016,5,Alan Walker,Faded,2,93
2016,5,Grace Featuring G-Eazy,You Don't Own Me,1,94
2016,5,Kenny Chesney,Noise,4,95
2016,5,Kanye West,Pt. 2,3,96
2016,5,Fetty Wap,Jimmy Choo,11,97
2016,5,Ariana Grande Featuring Lil Wayne,Let Me Love You,1,98
2016,5,Jonas Blue Featuring Dakota,Fast Car,5,99
2016,6,Drake Featuring WizKid & Kyla,One Dance,7,0
2016,6,Desiigner,Panda,13,1
2016,6,Justin Timberlake,Can't Stop The Feeling!,2,2
2016,6,Lukas Graham,7 Years,18,3
2016,6,Fifth Harmony Featuring Ty Dolla $ign,Work From Home,12,4
2016,6,The Chainsmokers Featuring Daya,Don't Let Me Down,14,5
2016,6,Mike Posner,I Took A Pill In Ibiza,18,6
2016,6,Rihanna Featuring Drake,Work,17,7
2016,6,Zayn,Pillowtalk,16,8
2016,6,Rihanna,Needed Me,16,9
2016,6,Justin Bieber,Love Yourself,27,10
2016,6,Calvin Harris Featuring Rihanna,This Is What You Came For,3,11
2016,6,Zara Larsson & MNEK,Never Forget You,14,12
2016,6,Ariana Grande,Dangerous Woman,10,13
2016,6,twenty one pilots,Stressed Out,35,14
2016,6,Flo Rida,My House,28,15
2016,6,DNCE,Cake By The Ocean,31,16
2016,6,G-Eazy x Bebe Rexha,"Me, Myself & I",29,17
2016,6,Meghan Trainor,No,11,18
2016,6,Future Featuring The Weeknd,Low Life,15,19
2016,6,Florida Georgia Line,H.O.L.Y.,3,20
2016,6,Drake,Controlla,3,21
2016,6,Drake Featuring The Throne,Pop Style,7,22
2016,6,Nick Jonas Featuring Tove Lo,Close,8,23
2016,6,Jeremih,Oui,20,24
2016,6,P!nk,Just Like Fire,5,25
2016,6,Kevin Gates,2 Phones,20,26
2016,6,James Bay,Let It Go,22,27
2016,6,Justin Bieber,Sorry,30,28
2016,6,Ruth B,Lost Boy,13,29
2016,6,Kent Jones,Don't Mind,3,30
2016,6,Ghost Town DJ's,My Boo,34,31
2016,6,Drake Featuring Rihanna,Too Good,3,32
2016,6,Sia Featuring Sean Paul,Cheap Thrills,14,33
2016,6,Drake,Hype,3,34
2016,6,twenty one pilots,Ride,10,35
2016,6,Bryson Tiller,Exchange,30,36
2016,6,DJ Snake Featuring Bipolar Sunshine,Middle,18,37
2016,6,Meghan Trainor,Me Too,1,38
2016,6,Beyonce,Sorry,4,39
2016,6,Shawn Mendes,Stitches,52,40
2016,6,Charlie Puth,One Call Away,25,41
